Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,1uf,R_0603_1608Metric,98.425,-105.41,-90,top
C2,1uF,R_0603_1608Metric,102.235,-98.425,90,top
C3,100nF,R_0603_1608Metric,104.775,-116.84,-90,top
C4,1uf,R_0603_1608Metric,102.235,-116.84,-90,top
C5,1uf,R_0603_1608Metric,139.065,-116.84,90,top
C6,1uf,R_0603_1608Metric,136.525,-105.41,90,top
C7,1uf,R_0603_1608Metric,130.175,-105.41,-90,top
C8,1uf,R_0603_1608Metric,132.715,-116.84,-90,top
C9,100pF,R_0603_1608Metric,122.555,-116.84,-90,top
C10,1nF,R_0603_1608Metric,134.62,-105.41,90,top
C11,1uf,R_0603_1608Metric,136.525,-94.615,90,top
C12,1uf,R_0603_1608Metric,137.795,-83.185,90,top
C13,1uf,R_0603_1608Metric,116.205,-105.41,-90,top
C14,1uf,R_0603_1608Metric,158.75,-95.885,180,top
C15,1uf,R_0603_1608Metric,147.32,-99.695,180,top
C16,1uf,R_0603_1608Metric,128.905,-83.185,-90,top
C17,1uf,R_0603_1608Metric,130.175,-94.615,-90,top
C18,1uf,R_0603_1608Metric,158.75,-103.505,180,top
C19,1uf,R_0603_1608Metric,147.32,-106.045,180,top
C20,1uf,R_0603_1608Metric,158.75,-112.395,180,top
C21,1uf,R_0603_1608Metric,147.32,-114.935,180,top
C22,1uf,R_0603_1608Metric,147.32,-78.105,0,top
C23,1uf,R_0603_1608Metric,158.75,-117.475,180,top
C24,1uF,C_0805_2012Metric,97.79,-78.74,-135,top
C25,1uf,R_0603_1608Metric,179.705,-103.505,-90,top
C26,1uf,R_0603_1608Metric,177.8,-118.745,180,top
C27,1uf,R_0603_1608Metric,175.895,-91.44,0,top
D1,4148,D_SOD-323,147.32,-101.6,0,top
D2,4148,D_SOD-323,158.75,-105.41,0,top
FB1,FB,R_0603_1608Metric,123.825,-116.84,-90,top
FB2,FB,R_0603_1608Metric,121.285,-116.84,-90,top
FB3,FB,R_0603_1608Metric,128.27,-116.84,90,top
FB4,FB,R_0603_1608Metric,117.475,-116.84,-90,top
FB5,FB,R_0603_1608Metric,121.285,-105.41,90,top
J1,INT,PinHeader_1x02_P2.54mm_Vertical,145.415,-107.95,90,top
J2,TEST,PinHeader_1x07_P2.54mm_Vertical,160.655,-75.565,0,top
