Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uf","R_0603_1608Metric",98.425000,-105.410000,-90.000000,top
"C2","1uF","R_0603_1608Metric",102.235000,-98.425000,90.000000,top
"C3","100nF","R_0603_1608Metric",104.775000,-116.840000,-90.000000,top
"C4","1uf","R_0603_1608Metric",102.235000,-116.840000,-90.000000,top
"C5","1uf","R_0603_1608Metric",139.065000,-116.840000,90.000000,top
"C6","1uf","R_0603_1608Metric",136.525000,-105.410000,90.000000,top
"C7","1uf","R_0603_1608Metric",130.175000,-105.410000,-90.000000,top
"C8","1uf","R_0603_1608Metric",132.715000,-116.840000,-90.000000,top
"C9","100pF","R_0603_1608Metric",122.555000,-116.840000,-90.000000,top
"C10","1nF","R_0603_1608Metric",134.620000,-105.410000,90.000000,top
"C11","1uf","R_0603_1608Metric",136.525000,-94.615000,90.000000,top
"C12","1uf","R_0603_1608Metric",137.795000,-83.185000,90.000000,top
"C13","1uf","R_0603_1608Metric",116.205000,-105.410000,-90.000000,top
"C14","1uf","R_0603_1608Metric",158.750000,-95.885000,180.000000,top
"C15","1uf","R_0603_1608Metric",147.320000,-99.695000,180.000000,top
"C16","1uf","R_0603_1608Metric",128.905000,-83.185000,-90.000000,top
"C17","1uf","R_0603_1608Metric",130.175000,-94.615000,-90.000000,top
"C18","1uf","R_0603_1608Metric",158.750000,-103.505000,180.000000,top
"C19","1uf","R_0603_1608Metric",147.320000,-106.045000,180.000000,top
"C20","1uf","R_0603_1608Metric",158.750000,-112.395000,180.000000,top
"C21","1uf","R_0603_1608Metric",147.320000,-114.935000,180.000000,top
"C22","1uf","R_0603_1608Metric",147.320000,-78.105000,0.000000,top
"C23","1uf","R_0603_1608Metric",158.750000,-117.475000,180.000000,top
"C24","1uF","C_0805_2012Metric",97.790000,-78.740000,-135.000000,top
"C25","1uf","R_0603_1608Metric",179.705000,-103.505000,-90.000000,top
"C26","1uf","R_0603_1608Metric",177.800000,-118.745000,180.000000,top
"C27","1uf","R_0603_1608Metric",175.895000,-91.440000,0.000000,top
